NAME,LOCATION,City,IMAGE,RATING,BOOK NOW
Kaveri deluxe,yaswanthpura , Bangalore,https://jiwirooms.com/app/hotel_logo/kav6.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Kaveri-deluxe_BUDGET_STAYS_HOTEL_RVTr
HOTEL LG PARK,Hosakote , Bangalore,https://jiwirooms.com/app/hotel_logo/jiwirooms_4091_1545286072_40915.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/HOTEL-LG-PARK_BUDGET_STAYS_HOTEL_SPZq
Hotel Nandhini,JP Nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/nanjp4.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-Nandhini_BUDGET_STAYS_HOTEL_RVXx
Champian orchid,Bansankari , Bangalore,https://jiwirooms.com/app/hotel_logo/co3.jpg,5,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Champian-orchid_BUDGET_STAYS_HOTEL_RVRu
Hotel Thanga Orchid,T Dasarahalli , Bangalore,https://jiwirooms.com/app/hotel_logo/39272.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-Thanga-Orchid_BUDGET_STAYS_HOTEL_RYSw
shree bhavani palace,Cottonpet , Bangalore,https://jiwirooms.com/app/hotel_logo/bha3.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/shree-bhavani-palace_BUDGET_STAYS_HOTEL_RWUs
Ajantha komforts,JP Nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/aj3.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Ajantha-komforts_BUDGET_STAYS_HOTEL_RVVw
Hotel Vasavi residency,BTM Layout , Bangalore,https://jiwirooms.com/app/hotel_logo/37843.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-Vasavi-residency_BUDGET_STAYS_HOTEL_RWYt
VR Royal residency,whitefield , Bangalore,https://jiwirooms.com/app/hotel_logo/vrroyal2.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/VR-Royal-residency_BUDGET_STAYS_HOTEL_RWQr
Plus Point,Belandur gate , Bangalore,https://jiwirooms.com/app/hotel_logo/39667.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Plus-Point_BUDGET_STAYS_HOTEL_RYWv
Swiss Royal Suites,Yelahanka , Bangalore,https://jiwirooms.com/app/hotel_logo/swiss3.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Swiss-Royal-Suites_BUDGET_STAYS_HOTEL_RWWu
Tripura deluxe,Sanjay Nagar , Bangalore,https://jiwirooms.com/app/hotel_logo/tri 5.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Tripura-deluxe_BUDGET_STAYS_HOTEL_RWYq
New Pavan Lodge,Marathahalli bridge , Bangalore,https://jiwirooms.com/app/hotel_logo/pav4.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/New-Pavan-Lodge_BUDGET_STAYS_HOTEL_RWSq
Citizen boarding and lodging,yaswanthpura , Bangalore,https://jiwirooms.com/app/hotel_logo/cit1.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Citizen-boarding-and-lodging_BUDGET_STAYS_HOTEL_RVTp
THE PARK RESIDENCY,Residency Road , Bangalore,https://jiwirooms.com/app/hotel_logo/102.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/THE-PARK-RESIDENCY_BUDGET_STAYS_HOTEL_RYWw
U D residency,Jayanagar , Bangalore,https://jiwirooms.com/app/hotel_logo/ud3.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/U-D-residency_BUDGET_STAYS_HOTEL_RVVv
Bhagini residency,hebbal , Bangalore,https://jiwirooms.com/app/hotel_logo/B15A1235 (2).JPG,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Bhagini-residency_BUDGET_STAYS_HOTEL_RVWs
My Resort,Nanjapura village , Bangalore,https://jiwirooms.com/app/hotel_logo/38356.jpg,3,https://jiwirooms.com//Bangalore/Resort-and-Cottage/profile/My-Resort_BUDGET_STAYS_HOTEL_RXTu
Hotel nandhini,Minerva circle , Bangalore,https://jiwirooms.com/app/hotel_logo/nanst2.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/Hotel-nandhini_BUDGET_STAYS_HOTEL_RVXw
T S Royal Grand Hotel,chandapura , Bangalore,https://jiwirooms.com/app/hotel_logo/38084.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/T-S-Royal-Grand-Hotel_BUDGET_STAYS_HOTEL_RXQx
Hotel garden comforts,Wilson Garden , Bangalore,https://jiwirooms.com/app/hotel_logo/gcom2.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Hotel-garden-comforts_BUDGET_STAYS_HOTEL_RVTt
HILAND Suites,shivananda circle , Bangalore,https://jiwirooms.com/app/hotel_logo/hiland4.jpg,3,https://jiwirooms.com//Bangalore/Homestay-and-Guest-House/profile/HILAND-Suites_BUDGET_STAYS_HOTEL_RWSy
Ashraya International Hotel,Infantry Road , Bangalore,https://jiwirooms.com/app/hotel_logo/37972.jpg,3,https://jiwirooms.com//Bangalore/Hotel-Lodge-and-Dormitory/profile/Ashraya-International-Hotel_BUDGET_STAYS_HOTEL_RWZw
